,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
1768,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,307079
1770,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,153982
1771,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,302654
1773,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,49115
1776,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,203539
1778,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,194690
1779,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,262389
1780,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,176991
1781,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,230088
1782,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,69026
1783,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,205752
1787,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,119469
1789,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,294690
1790,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,118584
1791,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161061
1792,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161946
1798,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,181415
1799,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,232743
1800,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,200000
1801,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,471504
1805,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,207964
1808,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,128318
1809,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1291,429203
1810,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,99115
1811,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,150000
1813,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,207964
1814,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,238053
1816,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,137168
1817,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,371681
1818,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,361061
1820,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,185398
1822,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,138053
1823,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,504424
1825,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,307079
1828,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,185840
1830,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,96017
1832,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,112389
1833,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,256637
1834,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,310619
1835,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,66371
1836,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,311504
1837,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,202654
1838,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,254867
1839,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,227433
1840,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,48053
1843,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,274336
1845,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,128318
1846,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,154159
1847,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,202654
1851,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,161061
1852,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,286725
1853,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,93362
1854,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,362831
1855,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,161061
1858,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,178318
1859,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,178761
1860,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,445132
1861,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,119469
1863,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,230088
1864,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,217699
1868,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,218584
1869,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,234513
1871,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,300000
1872,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,349557
1873,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,206194
1877,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,515929
1878,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,223008
1880,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,159292
1882,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,64601
1883,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,336283
1885,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,112566
1886,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,207964
1889,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,219469
1892,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,191150
1893,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,331858
1895,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,522123
1897,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,282300
1899,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,262831
1900,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,380530
1903,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,82300
1904,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,310176
1907,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,93097
1908,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,32743
1909,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143805
1910,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,166371
1912,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,203539
1914,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,168141
1917,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,135398
1918,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,244911
1920,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,371681
1921,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,252212
1922,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,130973
1923,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,218584
1926,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,300000
1927,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,429203
1930,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,97345
1931,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,153982
1932,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,314159
1934,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,199115
1935,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,109734
1937,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,199115
1940,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,235398
1942,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,309734
1943,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,229203
1944,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,109734
1945,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,169911
1949,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,349557
1950,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,305309
1952,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,192920
1954,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,165486
1955,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,54867
1956,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,130973
1957,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,292035
1958,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,251327
1960,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,253097
1961,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,265486
1962,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,155752
1963,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,340707
1965,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,407079
1967,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,259292
1973,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,94955
1974,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,246017
1978,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,207079
1980,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,238053
1981,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200884
1983,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,308849
1984,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,356637
1985,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,272566
1990,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,115044
1997,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,179646
1998,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,526548
2001,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,164601
2002,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,150442
2003,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,159292
2005,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,174336
2006,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,366371
2008,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,115044
2009,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,132743
2010,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,74778
2011,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,211150
2012,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,334513
2013,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,307964
2015,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,517699
2019,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,207079
2020,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,460176
2021,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,192920
2023,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,214159
2024,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,176991
2026,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101327
2027,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,61946
2030,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,336283
2031,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,376106
2033,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,276991
2034,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,180973
2036,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,80530
2037,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,194690
2039,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,149115
2041,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,161061
2043,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,294690
2045,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,185840
2048,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,221238
2049,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157079
2051,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,92920
2056,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73008
2057,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,398230
2059,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,169911
2060,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,253982
2064,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,326548
2067,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,293238
2069,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,241592
2070,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,205309
2072,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,222123
2073,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,268141
2075,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,211504
2076,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,273451
2077,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,212389
2080,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,176106
2081,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,201769
2082,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,327433
2083,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,279646
2084,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,103982
2085,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,353982
2086,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,61946
2089,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,339823
2090,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,501769
2091,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,345132
2092,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,423008
2093,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,91592
2094,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,313274
2099,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,40088
2100,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,530973
2101,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,228761
2105,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,486725
2106,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,480530
2107,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,351769
2109,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,197345
2110,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,307964
2111,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,142920
2112,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,163716
2113,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,196460
2114,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,79646
2115,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,172566
2118,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65929
2120,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,176991
2123,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,415929
2124,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,202654
2125,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,200884
2128,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,585840
2129,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,345132
2130,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,73893
2131,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,176106
2132,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,415929
2134,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37610
2135,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,84070
2137,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,159292
2140,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,109734
2141,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,232743
2142,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,384955
2145,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,146902
2146,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,284070
2147,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,280530
2148,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,363716
2152,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1369,261061
2155,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,136725
2156,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,185840
2157,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,308849
2158,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119026
2160,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,334955
2162,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,230088
2163,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,190265
2164,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,381415
2165,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,184513
2168,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,216814
2171,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,268141
2172,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,276106
2173,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,168141
2174,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,94690
2178,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,110619
2179,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,228318
2182,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,65486
2183,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,114159
2185,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,166371
2187,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,203539
2188,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,253982
2191,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,88495
2193,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,226548
2194,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,182743
2195,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,197345
2196,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,190265
2197,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,214159
2200,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183628
2203,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,250000
2205,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,264601
2207,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,80530
2211,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,181415
2213,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,278761
2214,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,386725
2216,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,451327
2217,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,82035
2218,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,122123
2220,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,198849
2222,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,154867
2223,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,216814
2224,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,185840
2226,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,123893
2229,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,80973
2231,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,192920
2232,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,123008
2234,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176548
2235,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,199115
2237,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,199115
2238,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,93362
2239,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,233628
2247,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,281415
2248,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,149557
2250,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,326548
2251,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,146460
2252,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,240707
2254,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,154867
2256,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,197345
2258,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,237168
2263,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,309734
2264,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,51327
2266,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,271681
2267,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,170796
2271,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,111504
2274,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,113274
2275,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,86283
